selleck_plate,well,Library,Library Well Type,Reagent Vendor,Vendor Reagent ID,Compound SMILES,Molecular Weight,Compound Names,PubChem CIDs,Clinical Phase [100012],Mechanism of Action [100012],Protein Target [100012],Match Type [100012],Screen Positives Count [200001],Screened Count [200001]
3651,A20,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2327,c1(O)cc2c(C(=O)C(O[C@H]3[C@@H](O)[C@H](O)[C@@H](O)[C@H](C)O3)=C(c4cc(O)c(O)c(O)c4)O2)c(O)c1,464.37629,Myricitrin,5352000,Preclinical,PKC inhibitor,NOS1|PRKCA,InChI key,,35
3651,A21,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1829,c(C(=O)C=C(c1[nH]nnn1)O2)(ccc(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)c5)c25,481.50262,Pranlukast,115100,Launched,leukotriene receptor antagonist,CYSLTR1|CYSLTR2|IL5|MUC2|NFKB1|RNASE3|TNF,InChI key,3,35
3651,A22,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2363,c1(OC)c(OC)c2c(C(=O)C=C(c3ccc(OC)cc3)O2)c(OC)c1OC,372.36859,Tangeretin,68077,Preclinical,cell cycle inhibitor,,InChI key,2,35
3651,A23,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,A24,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,B01,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,B02,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,B03,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2393,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,182.17175,Sorbitol,453,Launched,diuretic,,InChI key,,35
3651,B04,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2872,c1c(I)ccc2c1C(=Cc3cc(Br)c(O)c(Br)c3)C(=O)N2,520.94198,GW5074,5034,,,,,4,35
3651,B05,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2450,C1Oc2c(ccc(O)c2)C[C@H]1c3ccc(O)cc3,242.26985,Equol,382975,Launched,estrogen receptor agonist,ESR1|ESR2,InChI key,2,35
3651,B06,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2886,c1(cc(NC(=O)CN(C)C)cc2)c2NC(=O)c3c1cccc3,295.33578,PJ34,4858,Preclinical,PARP inhibitor,EEF2|PARP1|PARP15|PARP3,InChI key,1,35
3651,B07,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2532,O1C(=O)C(O)=C(O)[C@@]1([H])[C@@H](O)COC(=O)CCCCCCCCCCCCCCC,414.53291,L-Ascorbyl 6-palmitate,54679407,,,,,2,35
3651,B08,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2900,c1(nc(C(C)C)sc1)CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@@H](Cc3ccccc3)CC[C@H](Cc4ccccc4)NC(=O)OCc5scnc5,776.02272,Cobicistat (GS-9350),24950485,Launched,cytochrome P450 inhibitor,CYP3A4|CYP3A43|CYP3A5|CYP3A7,InChI key,,35
3651,B09,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2585,c1(ccc(Br)cc1)C(c2ncccc2)CCN(C)C.OC(=O)C=CC(=O)O,435.31161,Brompheniramine hydrogen maleate,91495,,,,,1,35
3651,B10,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2910,C1(C)(C)CC(O)CC(C)(C)N1[O],172.24471,Tempol,5395,Phase 2,free radical scavenger,,chemical name,1,35
3651,B11,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2691,c1cc(N2CCN(CCN3C(=O)CC4(CCCC4)CC3=O)CC2)c(OC)cc1.Cl.Cl,458.42172,BMY 7378,44275113,Preclinical,adrenergic receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|HTR1A,InChI key,,35
3651,B12,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2919,C(O)(=O)CNC(C1=C(O)c(c2N(Cc3ccccc3)C1=O)cccc2)=O,352.34074,IOX2,54685215,Preclinical,hypoxia inducible factor inhibitor,EGLN1|KDM2A|KDM5C,InChI key,,35
3651,B13,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2804,C(NC(c1ccccc1)C)(=O)c2ccccc2N=Cc3c(c4ccc3O)cccc4,394.46508,Sirtinol,6836442,,,,,2,35
3651,B14,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2930,c1cc(C#CS(=O)(=O)N)ccc1,181.21168,Pifithrin-?,327653,Preclinical,HSP inhibitor,HSPA1A|TP53,InChI key,2,35
3651,B15,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2819,n1(c2ccc(Cl)cc2Cl)c(c3ccc(I)cc3)c(C)c(C(NN4CCCCC4)=O)n1,555.2388,AM251,2125,Preclinical,cannabinoid receptor antagonist,CNR1|GPR18|GPR55,InChI key,3,35
3651,B16,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S3038,c1([C@@H]2N(CC(NC(=O)N3P(O)(=O)O)=N3)CCO[C@@H]2O[C@H](C)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)ccc(F)cc1.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1004.83372,Fosaprepitant dimeglumine salt,73197500,,,,,,35
3651,B17,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2842,c(ccc(C#C[C@@](COC)(C)O)n1)(C(=O)C(C(=O)NC)=C(N)N2CC)c12,358.39167,SAR131675,71295845,Preclinical,VEGFR inhibitor,FLT4,InChI key,,35
3651,B18,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S3052,c(C(=C1CCN(Cc2cc(C)cnc2)CC1)c3c(cc(Cl)cc3)CC4)(nccc5)c45.C(O)(=O)C=CC(O)=O,532.0299,Rupatadine Fumarate,3075477,,,,,1,35
3651,B19,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2855,C(NCCCCNC(=S)Nc1cccc(N=C=S)c1)(=S)Nc2cccc(N=C=S)c2,472.673,MRS 2578,16078986,Preclinical,purinergic receptor antagonist,P2RY6,InChI key,,35
3651,B20,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S3067,C(Nc1ccc(Cl)cc1)(=N)NC(=N)NCCCCCCNC(=N)NC(Nc2ccc(Cl)cc2)=N.Cl.Cl,578.36848,Chlorhexidine HCl,85066607,Launched,membrane integrity inhibitor,,InChI key,4,35
3651,B21,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2863,c1cc2c(nc(N)n2S(=O)(c3ccc(C)cc3)=O)cc1,287.33691,ML130 (Nodinitib-1),1088438,Preclinical,NOD1 inhibitor,,InChI key,1,35
3651,B22,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S3081,[C@H]1(c2ccc(N(C)C)cc2)C[C@@]3(C)[C@@]([H])(CC[C@@]3(OC(=O)C)C(C)=O)[C@@]4([H])C1=C5C(=CC(=O)CC5)CC4,475.61907,Ulipristal,129010216,Launched,progesterone receptor antagonist,PGR,InChI key,,35
3651,B23,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,B24,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,C01,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,C02,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,C03,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1014,n1c(c2c(Nc3cc(OC)c(Cl)cc3Cl)c(C#N)c1)cc(OCCCN4CCN(C)CC4)c(OC)c2,530.44616,Bosutinib (SKI-606),5328940,Launched,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|src inhibitor,ABL1|BCR|CAMK1D|CAMK2G|CDK2|FRK|FYN|HCK|LYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|SRC|STK10|STK24|STK4|TNK2|TXK,InChI key,,34
3651,C04,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1890,s1cc(CSCCNC(NC)=C[N+]([O-])=O)nc1CN(C)C,331.45744,Nizatidine,4513,,,,,,35
3651,C05,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1214,S([O-])(O)(=O)=O.[C@@H](NC(=O)c1c(C)c(N)nc([C@H](CC(=O)N)NC[C@@H](N)C(=O)N)n1)(C(=O)N[C@@H](C)[C@H](O)[C@@H](C)C(=O)N[C@@H](C(=O)NCCc2scc(c3scc(C(=O)NCCC[S+](C)C)n3)n2)[C@H](O)C)C(O[C@H]4O[C@H](CO)[C@H](O)[C@@H](O)[C@@]4([H])O[C@H]5O[C@H](CO)[C@@H](O)[C@H](OC(=O)N)[C@@H]5O)c6c[nH]cn6,1512.62229,Bleomycin Sulfate,129010217,,,,,3,35
3651,C06,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1958,C1(=O)N2[C@]([H])(S(=O)(=O)C(C)(C)[C@]2(C(=O)O)[H])C1,233.24164,Sulbactam,130313,Launched,beta lactamase inhibitor,,InChI key,1,35
3651,C07,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1284,N1(CC(=O)O)c2c(cccc2)CC[C@H](N[C@@H](CCc3ccccc3)C(=O)OCC)C1=O.Cl,460.95046,Benazepril HCl,71296885,Launched,angiotensin converting enzyme inhibitor,ACE,InChI key,,35
3651,C08,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2017,c1(cccc([N+]([O-])=O)c1)[C@@H]2C(C(=O)OC)=C(C)NC(C)=C2C(=O)O[C@H]3CN(Cc4ccccc4)CCC3.Cl,542.02317,Benidipine HCl,71296872,Launched,calcium channel blocker,CACNA1C|CACNA1G,InChI key,,35
3651,C09,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1351,[C@](O)(C1=CC=C[C@H](C)[C@H](O[C@]2([H])O[C@@H](C)[C@H](O[C@]3([H])O[C@@H](C)[C@H](O)[C@@H](OC)C3)[C@@H](OC)C2)C(C)=CC[C@]([H])(C[C@@H]4OC5=O)O[C@@]6(CC[C@H](C)[C@@]([H])([C@H](CC)C)O6)C4)([C@]5([H])C=C(C)[C@H]7O)[C@]7([H])OC1,875.09276,Ivermectin,129010219,Launched,benzodiazepine receptor agonist,CHRNA7|GABRB3|GLRA3|P2RX7,chemical name,2,35
3651,C10,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2069,NC(=N)NCCC[C@]([H])(NS(=O)(=O)c1c2c(CC(C)CN2)ccc1)C(=O)N3[C@H](C(O)=O)C[C@H](C)CC3,508.63414,Argatroban,54018892,Launched,thrombin inhibitor,F2,InChI key,,35
3651,C11,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1394,C1(=C2CCN(C)CC2)c3c(cccc3)CCc4c1ccs4.C(O)(=O)C(O)CC(O)=O,429.52917,Pizotifen Malate,168993,,,,,1,35
3651,C12,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2099,c1cc(CC[C@@H](C(=O)OCC)N[C@H]2CS[C@H](c3cccs3)CN(CC(=O)O)C2=O)ccc1.Cl,513.06975,Temocapril HCl,129010220,Launched,angiotensin converting enzyme inhibitor,ACE,InChI key,1,35
3651,C13,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1578,c1(Cn2c(OCC)nc3c2c(C(=O)O)ccc3)ccc(c4c(c5n[nH]nn5)cccc4)cc1,440.45399,Candesartan,2541,Launched,angiotensin receptor antagonist,AGTR1,InChI key,,35
3651,C14,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2160,c1cccc([C@H](N2[C@@H](CCc3ccc(C(F)(F)F)cc3)c4c(cc(OC)c(OC)c4)CC2)C(=O)NC)c1.Cl,549.02418,Almorexant HCl,129010221,,,,,,35
3651,C15,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1640,c1(SCCC)cc2c(nc(NC(=O)OC)[nH]2)cc1,265.3314,Albendazole,2082,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,InChI key,2,35
3651,C16,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2228,c1(C(=O)N[C@@H](C(C)(C)C)C(N2CCC[C@H]2C(=O)N[C@@H]3[C@@H](OCC)OC(=O)C3)=O)ccc(N)c(Cl)c1,508.99501,VX-765,9892498,Phase 2,caspase inhibitor,CASP1,InChI key,,35
3651,C17,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1703,C(CCC)(CCC)C(=O)[O-].[Na+].C(O)(=O)C(CCC)CCC,310.4047,Divalproex Sodium,23663956,,,,,,35
3651,C18,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2303,c1(C=O)c2c(cc(C)c(c3c(C)cc4c(c(C=O)c(O)c(O)c4C(C)C)c3O)c2O)c(C(C)C)c(O)c1O,518.55439,Gossypol,3503,Phase 2,BCL inhibitor|MCL1 inhibitor,BCL2,InChI key,2,35
3651,C19,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1771,c1cc2c(C(=CCCN(C)C)c3c(ccc(Cl)c3)S2)cc1,315.86022,Chlorprothixene,2729,Launched,dopamine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|HRH1|HTR2A|HTR2B|HTR2C,chemical name,2,35
3651,C20,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2329,c1c(O)c2c(O[C@H](c3ccc(O)cc3)CC2=O)cc1O[C@H]4[C@@H](O[C@H]5[C@@H](O)[C@H](O)[C@@H](O)[C@H](C)O5)[C@@H](O)[C@H](O)[C@@H](CO)O4,580.53458,Naringin,4441,Preclinical,cytochrome P450 inhibitor,SLCO1A2,InChI key,,35
3651,C21,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S1832,c1(OC)cc2c(C(Cc3cc(OC)c(OC)cc3)[N+](C)(CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc(c5C4Cc6cc(OC)c(OC)cc6)cc(OC)c(OC)c5)CC2)cc1OC.c7c(S(=O)(=O)[O-])cccc7.c8c(S(=O)(=O)[O-])cccc8,1243.47918,Atracurium Besylate,47320,Launched,acetylcholine receptor antagonist,CHRNA2,InChI key,1,35
3651,C22,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2369,c1c(O)c2c(OC(c3ccc(OCCO)c(OCCO)c3)=C(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)O4)C2=O)cc1OCCO,742.67518,Troxerutin,5360237,Launched,antioxidant,,InChI key,,35
3651,C23,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,C24,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,D01,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,D02,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,D03,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2397,c1cc2c(c[n+]3c(c4c(cc(OC)c(OC)c4)CC3)c2)c(OC)c1OC.[Cl-],387.85667,Palmatine chloride,73442,Preclinical,dopamine synthesis inhibitor,CYP3A4,InChI key,,35
3651,D04,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2874,c1(ccc(NC(=N)N)cc1)C(=O)Oc2ccc(CC(=O)OCC(=O)N(C)C)cc2.S(=O)(=O)(O)C,494.51814,Camostat Mesilate,5284360,Launched,protease inhibitor,PRSS1,InChI key,2,35
3651,D05,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2454,c1c(C)c(NC(=O)C2CCCCN2CCCC)c(C)cc1.Cl,324.88866,Bupivacaine HCl,45114156,Launched,sodium channel blocker,KCNA5|PTGER1|SCN10A|SCN4A,InChI key,2,35
3651,D06,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2890,c1ccc(CNc2nc(Nc3cc4c(NC(=O)C4)cc3)ncc2C(F)(F)F)c(N(S(C)(=O)=O)C)n1,507.4888,PF-562271,11713159,Phase 1,focal adhesion kinase inhibitor,PTK2|PTK2B,InChI key,,35
3651,D07,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2538,CC(Nc1ccccc1)=O,135.16316,Acetanilide,904,Preclinical,hydrogen peroxide decomposition inhibitor,,InChI key,1,35
3651,D08,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2901,c1(F)ccc(CN2C(=O)SN(c3ccc(C)cc3)C2=O)cc1,316.35002,CCG 50014,2733079,Preclinical,G protein signaling inhibitor,RGS4|RGS8,InChI key,,35
3651,D09,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2590,c1(CC)cnc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)cc1,356.43869,Pioglitazone,4829,Launched,insulin sensitizer|PPAR receptor agonist,PPARG|TRPM3,InChI key,,35
3651,D10,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2911,c1(OC)cc2c(n(CCCN(C)C)cc2C3=C(c4c[nH]c5c4cccc5)C(=O)NC3=O)cc1,442.50963,Go 6983,3499,Preclinical,protein kinase inhibitor,PRKCA|PRKCB|PRKCD|PRKCG|PRKCZ,InChI key,4,35
3651,D11,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2693,c1cc(CN(C)C)ccc1S(=O)(=O)n2cc(C=CC(=O)NO)cc2,349.40476,Resminostat,73028572,Phase 2,HDAC inhibitor,HDAC1|HDAC3|HDAC6|HDAC8,chemical name,1,35
3651,D12,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2921,c1(cnn(C)c1c2ccc(C)cc2)c3nn(C)c4c3c(N5CC[C@H](N6CCCCC6)C5)ncn4,456.58588,PF-4981517,91989794,Preclinical,cytochrome P450 inhibitor,CYP3A4,InChI key,,35
3651,D13,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2806,c1(N2CCN(C)CC2)cc(Nc3nn4c(c(c5ccc(S(=O)(C)=O)cc5)ccc4)n3)ccc1,462.56723,CEP-33779,57336812,Preclinical,JAK inhibitor,JAK2,InChI key,1,35
3651,D14,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S3002,c1cc(N2CCOCC2=O)ccc1N3CC(CNC(=O)c4ccc(Cl)s4)OC3=O,435.88132,Rivaroxaban,6433119,Launched,coagulation factor inhibitor,F10,InChI key,1,35
3651,D15,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2821,[C@@]([H])(C(=O)O)(Cc1c[nH]c2c1cccc2)N3C(=O)c(c4C3=O)cccc4,334.32546,RG108,702558,Preclinical,DNA methyltransferase inhibitor,DNMT1|DNMT3B,InChI key,,35
3651,D16,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S3042,c(n(C1CCCCC1)cn2)(nc(Oc3cccc4c3cccc4)nc5Nc6ccc(N7CCOCC7)cc6)c25,520.62478,Purmorphamine,5284329,Preclinical,smoothened receptor agonist,SMO,InChI key,,35
3651,D17,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2843,c1(O)c(F)cc(Nc2ncc3c(N(CCC(C)C)C(C)C(=O)N3C)n2)cc1F,391.41502,BI-D1870,25023738,Preclinical,ribosomal protein inhibitor,RPS6KA1|RPS6KA2|RPS6KA3|RPS6KA6,InChI key,1,35
3651,D18,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S3053,C(N)(NC(C)=C(C(OC(C)C)=O)C1c2cccc([N+]([O-])=O)c2)=C1C(OC3CN(C(c4ccccc4)c5ccccc5)C3)=O,582.64625,Azelnidipine,65948,Launched,calcium channel blocker,CACNA1C,InChI key,,35
3651,D19,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2856,c(ccc(Cl)c1)(sc(S(Nc2ccc(OC)c(N3CCNCC3)c2)(=O)=O)c4C)c14,451.98997,SB271046,5312149,Phase 1,serotonin receptor antagonist,HTR6,InChI key,2,35
3651,D20,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S3071,C(=O)c1ccc(O)c(OC)c1,152.14732,Vanillin,1183,Preclinical,,ABAT|ALDH5A1,InChI key,,35
3651,D21,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S2864,c1c(O)c(C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(Cl)c1,383.67293,IMD 0354,5081913,Phase 1,IKK inhibitor|NFkB pathway inhibitor,IKBKB,InChI key,5,35
3651,D22,Selleck Bioactive Compound Library - 10mM,experimental,Selleck Chemicals,S3083,N1c(c2C=CC1=O)c(O)ccc2[C@@H](O)CNC3Cc(c4C3)cc(CC)c(CC)c4.C(=CC(O)=O)C(O)=O,508.56287,Indacaterol Maleate,66822886,,,,,2,35
3651,D23,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,D24,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
3651,E01,Selleck Bioactive Compound Library - 10mM,empty,,,,,,,,,,,,
